mass_g,year,reclat,reclong,time_period,mass_kg,us_state
451.7,2001,40.27957,-118.94642,2001 to 2010,0.4517,nevada
83.8,2006,40.2628,-118.95912,2001 to 2010,0.0838,nevada
18.81,1999,40.26667,-118.93333,1991 to 2000,0.01881,nevada
170,1999,40.26667,-118.93333,1991 to 2000,0.17,nevada
78,1999,40.26667,-118.93333,1991 to 2000,0.078,nevada
287.44,1999,40.26667,-118.93333,1991 to 2000,0.28744,nevada
34,1999,40.26667,-118.93333,1991 to 2000,0.034,nevada
12.56,1999,40.26667,-118.93333,1991 to 2000,0.01256,nevada
10.47,1999,40.26667,-118.93333,1991 to 2000,0.01047,nevada
37.2,2009,40.2819,-118.94693,2001 to 2010,0.037200000000000004,nevada
153300,1878,29.87861,-96.87222,1950 and older,153.3,texas
16000,1917,29.86306,-96.92667,1950 and older,16,texas
1800,1968,33.65167,-103.70833,1961 to 1970,1.8,new mexico
1100,1932,29.8,-98.8,1950 and older,1.1,texas
41800,1938,26.26667,-81.75,1950 and older,41.8,florida
23.03,1998,37.21667,-117.08333,1991 to 2000,0.023030000000000002,nevada
80.8,1998,37.21667,-117.08333,1991 to 2000,0.0808,nevada
2126,1930,33.26667,-116.38333,1950 and older,2.126,california
500,1850,37.5,-79.75,1950 and older,0.5,virginia:main
1560,2008,34.685,-114.323,2001 to 2010,1.56,arizona
147.4,2004,33.96667,-114.06667,2001 to 2010,0.1474,arizona
2270,1962,48.68333,-97.16667,1961 to 1970,2.27,north dakota
1300,1972,48.78333,-97.35,1971 to 1980,1.3,north dakota
927,1937,31.05,-99.46667,1950 and older,0.927,texas
138300,1978,41.15333,-96.955,1971 to 1980,138.3,nebraska
7580,1975,40.81,-101.80167,1971 to 1980,7.58,nebraska
4300000,1882,37.5825,-99.16361,1950 and older,4300,kansas
17000,1940,39.25,-101.33333,1950 and older,17,kansas
13600,1890,35.71667,-81.86667,1950 and older,13.6,north carolina:main
2230,1949,40.66667,-104.31667,1950 and older,2.23,colorado
1773,1940,34.35,-101.4,1950 and older,1.773,texas
20000,1937,36.56667,-82.18333,1950 and older,20,tennessee
6800,1937,41.43333,-99.7,1950 and older,6.8,nebraska
972,1971,33.28333,-102.96667,1971 to 1980,0.972,texas
101,1980,33.275,-102.96,1971 to 1980,0.101,texas
53,1980,33.275,-102.96,1971 to 1980,0.053,texas
2000,1971,38.69667,-99.70833,1971 to 1980,2,kansas
40960,1937,33.21667,-102.18333,1950 and older,40.96,texas
4100,1964,33.21667,-102.18333,1961 to 1970,4.1,texas
1550,1974,33.135,-102.27833,1971 to 1980,1.55,texas
1626,1960,33.21667,-102.18333,1951 to 1960,1.626,texas
83000,1998,38.295,-121.405,1991 to 2000,83,california
798,2004,34.72453,-114.20883,2001 to 2010,0.798,arizona
50,2004,34.73245,-114.22257,2001 to 2010,0.05,arizona
18.4,2004,34.71933,-114.20783,2001 to 2010,0.0184,arizona
34200,2005,34.7345,-114.21717,2001 to 2010,34.2,arizona
145.8,2005,34.70108,-114.18845,2001 to 2010,0.1458,arizona
859.7,2007,34.70337,-114.19097,2001 to 2010,0.8597,arizona
9300,2003,32.24611,-99.99306,2001 to 2010,9.3,texas
28000,2002,38.84833,-98.72383,2001 to 2010,28,kansas
8600,1940,38.23333,-99.53333,1950 and older,8.6,kansas
8400,1913,32.03333,-99.25,1950 and older,8.4,texas
68000,1819,42.75,-75.18333,1950 and older,68,new york:main
18400,2003,39.86667,-106.88333,2001 to 2010,18.4,colorado
1987,1971,35.33333,-99.15,1971 to 1980,1.987,oklahoma
1240,1939,41.23333,-103.9,1950 and older,1.24,nebraska
41000,1874,38.3,-94.36667,1950 and older,41,missouri
18000,1987,35,-98.33333,1981 to 1990,18,oklahoma
12900,1961,37.03333,-97.625,1961 to 1970,12.9,kansas
7275,1938,36.08333,-92.15,1950 and older,7.275,arkansas
40000,1958,28.41667,-98.25,1951 to 1960,40,texas
16300,1818,43.2,-78.8,1950 and older,16.3,new york:main
3016,2009,33.88098,-111.78558,2001 to 2010,3.016,arizona
15400,1929,37.36667,-85.36667,1950 and older,15.4,kentucky
7030,1894,34.2,-84.48333,1950 and older,7.03,georgia
860,1957,34.96667,-101.93333,1951 to 1960,0.86,texas
8600,1875,40.9,-123.1,1950 and older,8.6,california
30000000,1891,35.05,-111.03333,1950 and older,30000,arizona
1520,1961,38.18333,-109.88333,1961 to 1970,1.52,utah
2860,2000,32.91745,-114.767183,1991 to 2000,2.86,california
81200,1887,31.91667,-98.03333,1950 and older,81.2,texas
132700,1963,35.16667,-98.64389,1961 to 1970,132.7,oklahoma
127000,1840,36.26667,-85.98333,1950 and older,127,tennessee
94000,1935,32,-86,1950 and older,94,alabama
723,1877,37.25,-85,1950 and older,0.723,kentucky
5896.8,1936,35.84778,-97.70333,1950 and older,5.8968,oklahoma
2700,1981,32.14833,-111.11167,1981 to 1990,2.7,arizona
1492,1992,31.7045,-110.77917,1991 to 2000,1.492,arizona
26210,1938,44.221494,-98.059192,1950 and older,26.21,south dakota
4900,1937,39.7,-98.98333,1950 and older,4.9,kansas
26000,1900,29.82806,-96.90861,1950 and older,26,texas
11300,1898,34.01667,-85.26667,1950 and older,11.3,georgia
3600,1959,34.2,-100.48333,1951 to 1960,3.6,texas
2400,1941,36.2,-102.45,1950 and older,2.4,texas
350.4,2009,33.24558,-111.89633,2001 to 2010,0.3504,arizona
15300,1936,35.71667,-102.28333,1950 and older,15.3,texas
16500,1849,34.7,-81.2,1950 and older,16.5,south carolina
26,2004,36.00217,-116.19633,2001 to 2010,0.026,california
104800,1954,36.5,-104.2,1951 to 1960,104.8,new mexico
8030,1951,36,-104.5,1951 to 1960,8.03,new mexico
212,1915,29,-103.25,1950 and older,0.212,texas
699,2004,33.01222,-114.86667,2001 to 2010,0.699,california
1802,1992,35.25,-118.09067,1991 to 2000,1.802,california
16220,1873,33.5,-85.66667,1950 and older,16.22,alabama
1500,1870,39.11667,-84.5,1950 and older,1.5,ohio
2268,1977,34.02806,-102.68,1971 to 1980,2.268,texas
1964,1979,34.905,-100.91333,1971 to 1980,1.964,texas
26.8,1981,34.93611,-100.94167,1981 to 1990,0.0268,texas
1050,1931,43.7,-104.7,1950 and older,1.05,wyoming
11300,1937,38,-84.16667,1950 and older,11.3,kentucky
15600,1964,34.34667,-101.49,1961 to 1970,15.6,texas
5136,1978,34.34833,-101.65833,1971 to 1980,5.136,texas
6800,1907,32.31667,-97.41667,1950 and older,6.8,texas
24000,1960,36.43333,-98.43333,1951 to 1960,24,oklahoma
115000,1860,34.88333,-84.78333,1950 and older,115,georgia
11360,1962,39.1,-103.25833,1961 to 1970,11.36,colorado
7700,1950,36.08333,-84.2,1950 and older,7.7,tennessee
7700,1954,34.45,-111.36667,1951 to 1960,7.7,arizona
283000,1961,34.3,-103.13472,1961 to 1970,283,new mexico
41300,1963,34.3,-103.13333,1961 to 1970,41.3,new mexico
35900,2006,37.01667,-95.66667,2001 to 2010,35.9,kansas
2400,1940,39.41667,-101.05,1950 and older,2.4,kansas
18400,1923,37.26667,-99.33333,1950 and older,18.4,kansas
16000,1924,37.26667,-99.33333,1950 and older,16,kansas
16300,1991,41.35,-99.11667,1991 to 2000,16.3,nebraska
2300,1880,35.3,-81.73333,1950 and older,2.3,north carolina:main
3912,1975,35.35,-98.68333,1971 to 1980,3.912,oklahoma
19670,1993,46.57056,-117.09861,1991 to 2000,19.67,washington:main
165,1997,31.82967,-107.3945,1991 to 2000,0.165,new mexico
19700,1940,32.01667,-98.7,1950 and older,19.7,texas
2400,1956,31.99167,-98.65167,1951 to 1960,2.4,texas
17000,2006,40.266667,-94.683333,2001 to 2010,17,missouri
93500,1939,32,-101.5,1950 and older,93.5,texas
2300,1913,36.16667,-85.51667,1950 and older,2.3,tennessee
4500,1937,38.03333,-101.98333,1950 and older,4.5,kansas
2750,1905,35,-111,1950 and older,2.75,arizona
16800,1860,36.43333,-87,1950 and older,16.8,tennessee
12000,1934,39.66667,-102.83333,1950 and older,12,colorado
817,1967,39.68333,-102.845,1961 to 1970,0.817,colorado
54.5,1998,34.30333,-112.16617,1991 to 2000,0.0545,arizona
5176,1994,35.405,-98.74889,1991 to 2000,5.176,oklahoma
1400,1979,34.95,-107.16667,1971 to 1980,1.4,new mexico
715.6,1940,37.35,-108.68333,1950 and older,0.7156,colorado
960000,1837,35.78333,-83.25,1950 and older,960,tennessee
35500,1881,36.83333,-105.23333,1950 and older,35.5,new mexico
1160,1928,41.36667,-98.63333,1950 and older,1.16,nebraska
243,2000,38.46483,-105.7015,1991 to 2000,0.243,colorado
800,1955,34.83333,-112.01667,1951 to 1960,0.8,arizona
61000,1896,39.2,-98.78333,1950 and older,61,kansas
338,1995,35.05017,-116.76683,1991 to 2000,0.338,california
106.7,1998,35.04753,-116.73092,1991 to 2000,0.1067,california
255.72,1998,35.08808,-116.75398,1991 to 2000,0.25572,california
2430,1999,35.0715,-116.77205,1991 to 2000,2.43,california
5220,1999,35.05605,-116.7763,1991 to 2000,5.22,california
344,1999,35.09373,-116.76343,1991 to 2000,0.344,california
392.8,1999,35.07667,-116.74667,1991 to 2000,0.39280000000000004,california
2134,1999,35.05242,-116.7667,1991 to 2000,2.134,california
67.61,1999,35.05878,-116.773,1991 to 2000,0.06761,california
1364.31,1999,35.05817,-116.7743,1991 to 2000,1.36431,california
