mass_g,year,reclat,reclong,time_period,mass_kg
300,1872,26.25,82,1950 and older,0.3
188,1933,-3,151,1950 and older,0.188
10000,1947,40.78167,-96.47167,1950 and older,10
2400,1961,-17.3,15.83333,1961 to 1970,2.4
3000,1785,48.9,11.21667,1950 and older,3
3336,1939,56.03333,13,1950 and older,3.336
840,1916,28.26667,78.78333,1950 and older,0.84
10000,1989,34.41667,3.25,1981 to 1990,10
17226,1977,25.37,-97.37,1971 to 1980,17.226
5000,1993,19.96722,-103.05167,1991 to 2000,5
680.5,1998,39.24667,-104.58817,1991 to 2000,0.6805
107000,1399,50.18333,12.73333,1950 and older,107
54640,1951,47.83333,37.66667,1951 to 1960,54.64
1470,1925,51.75,4,1950 and older,1.47
127,1900,-29.46667,151.61667,1950 and older,0.127
8000,1974,30.3,109.5,1971 to 1980,8
127000,1491,47.86667,7.35,1950 and older,127
277,1822,48.18333,6.46667,1950 and older,0.277
113,1940,19.03333,81.89167,1950 and older,0.113
107.2,1911,40.3,44.5,1950 and older,0.1072
20000,1889,1.16667,44.16667,1950 and older,20
2250,1812,52.21667,11.25,1950 and older,2.25
1500,1837,46.25,-1.1,1950 and older,1.5
500,1957,2.88333,30.83333,1951 to 1960,0.5
320000,1879,43.41667,-94.83333,1950 and older,320
89400,1890,39.75,-97.03333,1950 and older,89.4
56000,1934,35.55,-77.53333,1950 and older,56
1500,1844,44.38333,2.81667,1950 and older,1.5
2360,1934,36.05,-94.16667,1950 and older,2.36
380,1875,36.88333,8.45,1950 and older,0.38
3200,1900,32.53333,-87.16667,1950 and older,3.2
82,1924,34.6,116.75,1950 and older,0.082
220,1889,36.1,-81.41667,1950 and older,0.22
10200,1996,43.18111,13.75333,1991 to 2000,10.2
17600,1894,47.81667,-96.85,1950 and older,17.6
3640,1922,30.83333,-97.76667,1950 and older,3.64
152000,1890,43.25,-93.66667,1950 and older,152
26000,1942,-33.35,146.85833,1950 and older,26
6067,1924,36.78333,-78.08333,1950 and older,6.067
240,1900,50.95,7.31667,1950 and older,0.24
16300,1829,33.01667,-83.96667,1950 and older,16.3
650,1868,34.48333,-87.83333,1950 and older,0.65
23000,1945,31.47556,113.56694,1950 and older,23
11620,1882,33.18333,130.2,1950 and older,11.62
4000,1822,25.95,80.81667,1950 and older,4
2500,1977,32.9,115.9,1971 to 1980,2.5
132.7,1826,44.3,0.4,1950 and older,0.13269999999999998
36.1,1952,7.05,12.43333,1951 to 1960,0.0361
28,1952,7.05,12.43333,1951 to 1960,0.028
5000,1995,51.68333,30.78333,1991 to 2000,5
6400,1897,27.35,68.53333,1950 and older,6.4
380,1917,27.88333,68.53333,1950 and older,0.38
102,1950,41.68333,-112.13333,1950 and older,0.102
4162,1984,12.85,11.03333,1981 to 1990,4.162
725,1950,12.91667,11.91667,1950 and older,0.725
14290,1909,35.53333,136.88333,1950 and older,14.29
18000,1853,37.31667,13.56667,1950 and older,18
480,1947,9.6,9.91667,1950 and older,0.48
670,1990,52.2,6.86667,1981 to 1990,0.67
1303,1939,-7.25,107.7,1950 and older,1.303
152000,1918,57.35,37.61667,1950 and older,152
767,1991,52.45972,-0.3,1991 to 2000,0.767
1750,1879,50.66667,16.76667,1950 and older,1.75
1600,1865,24.23333,89.05,1950 and older,1.6
3618,1974,48.28333,38.08333,1971 to 1980,3.618
9000,1964,42.9,2.25,1961 to 1970,9
45.5,1976,60.66667,11,1971 to 1980,0.0455
215,2009,43.2,-79.61667,2001 to 2010,0.215
3500,1861,43.66667,45.38333,1950 and older,3.5
10500,1837,49.26667,18.71667,1950 and older,10.5
8000,1881,46.35,30.58333,1950 and older,8
1000,1841,51.93333,15.5,1950 and older,1
690,1910,52.86667,16.63333,1950 and older,0.69
22000,1932,-33,-58.61667,1950 and older,22
2910,1996,39.80417,122.76389,1991 to 2000,2.91
1900,1980,37.1,118.4,1971 to 1980,1.9
39000,1892,38.73333,-6.01667,1950 and older,39
1915,1891,43.76667,20.23333,1950 and older,1.915
288,1972,13.5,-0.68333,1971 to 1980,0.288
968,1949,9.91667,13.98333,1950 and older,0.968
2449,1982,22.98333,76.05,1981 to 1990,2.449
100000,1984,11.49167,11.65833,1981 to 1990,100
5700,1904,42.9,24.7,1950 and older,5.7
